Temperatura (Cº),Voltaje Longitudinal (V)
101,0.155
95,0.178
90,0.179
85,0.184
80,0.19
75,0.193
70,0.194
65,0.194
60,0.194
55,0.191
50,0.188
45,0.184
40,0.18
35,0.176
31,0.173
