frecuencia Hz,Amplitud mV,delta tiempo s,delta tiempo fase s,desfase
0.5,770,2.02,0.32,1.005309649
0.55,800,1.74,0.6,2.073451151
0.6,880,1.79,0.5,1.884955592
0.65,1000,1.5,0.82,3.348937769
0.7,1360,1.42,0.16,0.703716754
0.75,1720,1.32,0.58,2.733185609
0.8,1720,1.28,0.66,3.317521842
0.85,4720,1.16,0.34,1.815840554
0.9,3600,1.1,0.16,0.904778684
0.95,2000,1.04,0.02,0.119380521
1,1200,0.98,0.08,0.502654825
